pid,arrival_stop,destination_stop,arrival_time,departure_time,flag,pod_departure,from_stop,path,travel_time,waiting_time,destination_time,distance
129,D,H,46492,46680,1,46492,,DBH,180,0,46672,2
130,I,F,24002,24190,1,24002,,IDF,180,0,24182,2
131,H,I,59042,59140,1,59042,,HI,90,0,59132,1
132,E,A,78673,78898.278,1,78673,,ECA,217.278,0,78890.278,2.4142
133,E,A,69322,69547.278,1,69322,,ECA,217.278,0,69539.278,2.4142
134,B,D,48926,49024,1,48926,,BD,90,0,49016,1
135,H,I,27831,27929,1,27831,,HI,90,0,27921,1
136,J,G,83628,83726,1,83628,,JG,90,0,83718,1
137,E,F,41283,41561,1,41283,,EIDF,270,0,41553,3
138,A,D,58134,58359.278,1,58134,,ABD,217.278,0,58351.278,2.4142
139,B,J,27484,27762,1,27484,,BHIJ,270,0,27754,3
140,A,D,54463,54688.278,1,54463,,ABD,217.278,0,54680.278,2.4142
141,E,J,68291,68569,1,68381,,EIJ,180,90,68471,2
142,F,H,49469,49747,1,49469,,FDBH,270,0,49739,3
143,E,A,65470,65695.278,1,65470,,ECA,217.278,0,65687.278,2.4142
144,C,J,48050,48418,1,48140,,CHIJ,270,90,48320,3
145,C,I,43113,43391,1,43203,,CHI,180,90,43293,2
146,A,D,61758,61983.278,1,61758,,ABD,217.278,0,61975.278,2.4142
147,F,G,85187,85375,1,85187,,FJG,180,0,85367,2
148,D,B,34287,34385,1,34287,,DB,90,0,34377,1
149,F,G,83432,83710,1,83522,,FJG,180,90,83612,2
150,F,E,35775,36053,1,35775,,FDIE,270,0,36045,3
151,G,I,56077,56265,1,56077,,GEI,180,0,56257,2
152,G,J,50754,50852,1,50754,,GJ,90,0,50844,1
153,J,I,59662,59760,1,59662,,JI,90,0,59752,1
154,G,F,23120,23308,1,23120,,GJF,180,0,23300,2
155,E,F,26475,26753,1,26475,,EIDF,270,0,26745,3
156,J,F,62477,62575,1,62477,,JF,90,0,62567,1
157,H,B,35412,35510,1,35412,,HB,90,0,35502,1
158,I,B,86387,86575,1,86387,,IHB,180,0,86567,2
159,A,D,23410,23635.278,1,23410,,ABD,217.278,0,23627.278,2.4142
160,A,G,30239,30554.278,1,30239,,ACEG,307.278,0,30546.278,3.4142
161,D,H,85023,85301,1,85113,,DBH,180,90,85203,2
162,G,A,63843,64158.278,1,63843,,GECA,307.278,0,64150.278,3.4142
163,J,G,33115,33213,1,33115,,JG,90,0,33205,1
164,H,C,71069,71167,1,71069,,HC,90,0,71159,1
165,H,I,28832,28930,1,28832,,HI,90,0,28922,1
166,I,J,23249,23347,1,23249,,IJ,90,0,23339,1
167,B,J,31861,32139,1,31861,,BHIJ,270,0,32131,3
168,C,G,41968,42246,1,42058,,CEG,180,90,42148,2
169,B,A,35250,35385.278,1,35250,,BA,127.27799999999999,0,35377.278,1.4142
170,C,B,76559,76747,1,76559,,CHB,180,0,76739,2
171,J,D,36397,36585,1,36397,,JID,180,0,36577,2
172,A,C,79223,79358.278,1,79223,,AC,127.27799999999999,0,79350.278,1.4142
173,G,J,66242,66340,1,66242,,GJ,90,0,66332,1
174,D,C,28727,29005,1,28727,,DBHC,270,0,28997,3
175,J,F,39190,39288,1,39190,,JF,90,0,39280,1
176,B,A,46135,46270.278,1,46135,,BA,127.27799999999999,0,46262.278,1.4142
177,D,C,68995,69273,1,68995,,DBHC,270,0,69265,3
178,J,E,68747,68935,1,68747,,JIE,180,0,68927,2
179,B,J,82411,82689,1,82411,,BHIJ,270,0,82681,3
180,G,A,44966,45281.278,1,44966,,GECA,307.278,0,45273.278,3.4142
181,A,F,68598,68916,1,68598,,ABDF,307.278,0,68905.278,3.4142
182,J,G,78297,78395,1,78297,,JG,90,0,78387,1
183,H,J,83190,83378,1,83190,,HIJ,180,0,83370,2
184,G,H,32112,32390,1,32112,,GECH,270,0,32382,3
185,A,D,64677,64902.278,1,64677,,ABD,217.278,0,64894.278,2.4142
186,D,C,70450,70728,1,70450,,DBHC,270,0,70720,3
187,B,A,27329,27464.278,1,27329,,BA,127.27799999999999,0,27456.278,1.4142
188,G,H,52548,52826,1,52548,,GECH,270,0,52818,3
189,D,E,50885,51073,1,50885,,DIE,180,0,51065,2
190,E,I,82487,82585,1,82487,,EI,90,0,82577,1
191,H,G,69487,69765,1,69487,,HCEG,270,0,69757,3
192,I,C,78476,78664,1,78476,,IHC,180,0,78656,2
193,I,D,50390,50488,1,50390,,ID,90,0,50480,1
194,B,F,23961,24149,1,23961,,BDF,180,0,24141,2
195,E,H,29034,29312,1,29124,,ECH,180,90,29214,2
196,G,B,30868,31236,1,30868,,GECHB,360,0,31228,4
197,H,G,27865,28233,1,27955,,HCEG,270,90,28135,3
198,F,C,82801,83169,1,82801,,FDBHC,360,0,83161,4
199,H,A,78061,78159,1,78061,,HA,90,0,78151,1
200,J,H,72767,72955,1,72767,,JIH,180,0,72947,2
201,A,J,75926,76204,1,75926,,AHIJ,270,0,76196,3
202,B,E,76536,76814,1,76536,,BHCE,270,0,76806,3
203,E,J,34885,35163,1,34975,,EIJ,180,90,35065,2
204,B,H,67892,67990,1,67892,,BH,90,0,67982,1
205,C,G,51177,51365,1,51177,,CEG,180,0,51357,2
206,I,E,61796,61894,1,61796,,IE,90,0,61886,1
207,J,B,53802,54080,1,53802,,JIHB,270,0,54072,3
208,I,A,83594,83782,1,83594,,IHA,180,0,83774,2
209,G,B,72067,72435,1,72067,,GECHB,360,0,72427,4
210,F,H,68544,68822,1,68544,,FDBH,270,0,68814,3
211,C,B,83613,83801,1,83613,,CHB,180,0,83793,2
212,H,C,74498,74596,1,74498,,HC,90,0,74588,1
213,A,I,38808,38996,1,38808,,AHI,180,0,38988,2
214,J,F,64700,64798,1,64700,,JF,90,0,64790,1
215,I,F,50269,50457,1,50269,,IDF,180,0,50449,2
216,B,C,85059,85247,1,85059,,BHC,180,0,85239,2
217,I,C,68207,68395,1,68207,,IHC,180,0,68387,2
218,J,F,80742,80840,1,80742,,JF,90,0,80832,1
219,E,H,62618,62806,1,62618,,ECH,180,0,62798,2
220,B,C,72149,72337,1,72149,,BHC,180,0,72329,2
221,E,B,35874,36152,1,35874,,ECHB,270,0,36144,3
222,C,B,33325,33513,1,33325,,CHB,180,0,33505,2
223,C,A,33107,33242.278,1,33107,,CA,127.27799999999999,0,33234.278,1.4142
224,F,G,28949,29137,1,28949,,FJG,180,0,29129,2
225,A,E,43515,43740.278,1,43515,,ACE,217.278,0,43732.278,2.4142
226,H,D,23407,23595,1,23407,,HBD,180,0,23587,2
227,I,A,21990,22178,1,21990,,IHA,180,0,22170,2
228,A,F,83926,84241.278,1,83926,,ABDF,307.278,0,84233.278,3.4142
229,F,I,48555,48751.278,1,48563.278,,FDI,180,8.277999999998428,48735,2
230,E,H,79685,79873,1,79685,,ECH,180,0,79865,2
231,F,C,45645,46087,1,45719,,FDBHC,360,74,46005,4
232,H,C,60612,60710,1,60612,,HC,90,0,60702,1
233,H,C,72156,72254,1,72156,,HC,90,0,72246,1
234,F,H,54050,54328,1,54050,,FDBH,270,0,54320,3
235,H,G,82029,82307,1,82029,,HCEG,270,0,82299,3
236,G,D,23690,23968,1,23690,,GEID,270,0,23960,3
237,J,G,49724,49822,1,49724,,JG,90,0,49814,1
238,I,B,37334,37522,1,37334,,IHB,180,0,37514,2
239,B,G,49622,49990,1,49622,,BHCEG,360,0,49982,4
240,G,A,58656,58971.278,1,58656,,GECA,307.278,0,58963.278,3.4142
241,E,A,49669,49984.278,1,49759,,ECA,217.278,90,49886.278,2.4142
242,J,H,82869,83057,1,82869,,JIH,180,0,83049,2
243,E,D,28864,29142,1,28954,,EID,180,90,29044,2
244,B,G,85880,86248,1,85880,,BHCEG,360,0,86240,4
245,B,A,85427,85562.278,1,85427,,BA,127.27799999999999,0,85554.278,1.4142
246,A,E,24909,25134.278,1,24909,,ACE,217.278,0,25126.278,2.4142
247,J,F,86121,86219,1,86121,,JF,90,0,86211,1
248,I,H,64587,64685,1,64587,,IH,90,0,64677,1
249,G,E,55047,55145,1,55047,,GE,90,0,55137,1
250,H,I,80294,80392,1,80294,,HI,90,0,80384,1
251,D,E,78941,79157,1,78969,,DIE,180,28,79121,2
252,G,H,81269,81547,1,81269,,GECH,270,0,81539,3
253,C,H,21874,21972,1,21874,,CH,90,0,21964,1
254,F,I,71926,72114,1,71926,,FDI,180,0,72106,2
255,F,J,62881,62979,1,62881,,FJ,90,0,62971,1
256,B,J,82463,82741,1,82463,,BHIJ,270,0,82733,3
257,A,H,45407,45505,1,45407,,AH,90,0,45497,1
258,A,J,68493,68771,1,68493,,AHIJ,270,0,68763,3
259,B,G,64112,64480,1,64112,,BHCEG,360,0,64472,4
260,B,E,37390,37668,1,37390,,BHCE,270,0,37660,3
261,F,A,61356,61761.278,1,61446,,FDBA,307.278,90,61663.278,3.4142
262,A,G,42501,42816.278,1,42501,,ACEG,307.278,0,42808.278,3.4142
263,E,H,36394,36582,1,36394,,ECH,180,0,36574,2
264,D,G,32390,32668,1,32390,,DFJG,270,0,32660,3
265,C,E,39771,39869,1,39771,,CE,90,0,39861,1
266,B,I,78275,78463,1,78275,,BHI,180,0,78455,2
267,A,B,47574,47709.278,1,47574,,AB,127.27799999999999,0,47701.278,1.4142
268,I,H,55167,55355,1,55257,,IH,90,90,55257,1
269,C,B,60741,60929,1,60741,,CHB,180,0,60921,2
270,F,A,83255,83570.278,1,83255,,FDBA,307.278,0,83562.278,3.4142
271,J,I,45822,45920,1,45822,,JI,90,0,45912,1
272,D,A,85033,85348.278,1,85123,,DBA,217.278,90,85250.278,2.4142
