index,step,x,y,retrieval_order
37,7,110,940,37
37,8,100,940,37
37,9,90,940,37
38,0,860,640,38
38,1,850,640,38
38,2,840,640,38
38,3,830,640,38
38,4,820,640,38
38,5,810,640,38
38,6,800,640,38
38,7,790,640,38
38,8,780,640,38
38,9,770,640,38
39,0,160,420,39
39,1,150,420,39
39,2,140,420,39
39,3,130,420,39
39,4,120,420,39
39,5,110,420,39
39,6,100,420,39
39,7,90,420,39
39,8,80,420,39
39,9,70,420,39
40,0,560,940,40
40,1,550,940,40
40,2,540,940,40
40,3,530,940,40
40,4,520,940,40
40,5,510,940,40
40,6,500,940,40
40,7,490,940,40
40,8,480,940,40
40,9,470,940,40
41,0,660,1020,41
41,1,650,1020,41
41,2,640,1020,41
41,3,630,1020,41
41,4,620,1020,41
41,5,610,1020,41
41,6,600,1020,41
41,7,590,1020,41
41,8,580,1020,41
41,9,570,1020,41
42,0,180,1080,42
42,1,170,1080,42
42,2,160,1080,42
42,3,150,1080,42
42,4,140,1080,42
42,5,130,1080,42
42,6,120,1080,42
42,7,110,1080,42
42,8,100,1080,42
42,9,90,1080,42
43,0,880,1020,43
43,1,870,1020,43
43,2,860,1020,43
43,3,850,1020,43
43,4,840,1020,43
43,5,830,1020,43
43,6,820,1020,43
43,7,810,1020,43
43,8,800,1020,43
43,9,790,1020,43
44,0,340,1080,44
44,1,330,1080,44
44,2,320,1080,44
44,3,310,1080,44
44,4,300,1080,44
44,5,290,1080,44
44,6,280,1080,44
44,7,270,1080,44
44,8,260,1080,44
44,9,250,1080,44
45,0,520,1140,45
45,1,510,1140,45
45,2,500,1140,45
45,3,490,1140,45
45,4,480,1140,45
45,5,470,1140,45
45,6,460,1140,45
45,7,450,1140,45
45,8,440,1140,45
45,9,430,1140,45
46,0,0,1180,46
46,1,-10,1180,46
46,2,-20,1180,46
46,3,-30,1180,46
46,4,-40,1180,46
46,5,-50,1180,46
46,6,-60,1180,46
46,7,-70,1180,46
46,8,-80,1180,46
46,9,-90,1180,46
47,0,900,500,47
47,1,890,500,47
47,2,880,500,47
47,3,870,500,47
47,4,860,500,47
47,5,850,500,47
47,6,840,500,47
47,7,830,500,47
47,8,820,500,47
47,9,810,500,47
48,0,740,1140,48
48,1,730,1140,48
48,2,720,1140,48
48,3,710,1140,48
48,4,700,1140,48
48,5,690,1140,48
48,6,680,1140,48
48,7,670,1140,48
48,8,660,1140,48
48,9,650,1140,48
49,0,200,1220,49
49,1,190,1220,49
49,2,180,1220,49
49,3,170,1220,49
49,4,160,1220,49
49,5,150,1220,49
49,6,140,1220,49
49,7,130,1220,49
49,8,120,1220,49
49,9,110,1220,49
